epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
103,3299.93,0.63004,0.47755,1.01432,0.97735,0.96468,0.98834,0.84492,0.63575,0.43077,0.97287,0.000605433,0.000605433,0.000605433
104,3327.18,0.62194,0.43903,0.9865,0.9874,0.96426,0.99002,0.85965,0.55961,0.3732,0.92375,0.000595624,0.000595624,0.000595624
105,3355.99,0.61973,0.45447,0.99101,0.975,0.94349,0.98669,0.85971,0.58137,0.40608,0.92449,0.000585822,0.000585822,0.000585822
106,3382.69,0.58757,0.43259,0.97735,0.97117,0.97077,0.9873,0.86199,0.56128,0.38418,0.9278,0.00057603,0.00057603,0.00057603
107,3410.71,0.63947,0.46592,1.01155,0.97603,0.96107,0.97891,0.84601,0.61226,0.4124,0.97784,0.000566251,0.000566251,0.000566251
108,3442.39,0.61163,0.43076,1.00888,0.98277,0.9771,0.99006,0.87048,0.53377,0.3664,0.90468,0.000556485,0.000556485,0.000556485
109,3476.13,0.59171,0.43243,0.99189,0.97109,0.97992,0.99315,0.87036,0.56132,0.35849,0.92836,0.000546737,0.000546737,0.000546737
110,3507.22,0.56792,0.42116,0.97758,0.98467,0.97175,0.98963,0.86922,0.55336,0.37326,0.92784,0.000537008,0.000537008,0.000537008
111,3581.93,0.57032,0.4153,0.97832,0.97688,0.96651,0.98782,0.86633,0.58014,0.39648,0.96299,0.000527301,0.000527301,0.000527301
112,3649.91,0.57988,0.41181,0.96727,0.9742,0.97682,0.98851,0.87028,0.53638,0.38021,0.91339,0.000517618,0.000517618,0.000517618
113,3681.56,0.60082,0.43204,0.96907,0.98718,0.96578,0.98901,0.8594,0.57874,0.38922,0.9335,0.000507961,0.000507961,0.000507961
114,3721.26,0.57849,0.40571,0.9656,0.96374,0.97644,0.98714,0.85733,0.55198,0.38249,0.91684,0.000498333,0.000498333,0.000498333
115,3751.32,0.57381,0.41752,0.95869,0.95565,0.96106,0.98417,0.85044,0.58266,0.40109,0.94805,0.000488737,0.000488737,0.000488737
116,3780.48,0.57504,0.4052,0.95902,0.95609,0.94977,0.9827,0.8584,0.55309,0.39389,0.92598,0.000479174,0.000479174,0.000479174
117,3808.25,0.56593,0.40398,0.96516,0.97823,0.95819,0.98916,0.85911,0.56641,0.38948,0.92707,0.000469647,0.000469647,0.000469647
118,3851.87,0.61504,0.42632,0.9652,0.98358,0.97456,0.98882,0.86684,0.53512,0.36546,0.91608,0.000460158,0.000460158,0.000460158
119,3889.5,0.54978,0.41704,0.97244,0.98032,0.9667,0.98725,0.87287,0.52858,0.3726,0.91533,0.00045071,0.00045071,0.00045071
120,3917.47,0.52735,0.39277,0.9382,0.98975,0.96638,0.98498,0.87221,0.53737,0.39252,0.9171,0.000441306,0.000441306,0.000441306
121,3948.13,0.54086,0.39609,0.97694,0.98135,0.9685,0.98326,0.86568,0.55735,0.40939,0.93307,0.000431946,0.000431946,0.000431946
122,3976.39,0.55357,0.38961,0.93204,0.98523,0.97102,0.9901,0.86962,0.52448,0.35957,0.89599,0.000422634,0.000422634,0.000422634
